127.0.0.1 - - [13/Jun/2017:19:14:48 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Jun/2017:19:14:56 +0530] "GET /sunelectronics/ HTTP/1.1" 200 39333
0:0:0:0:0:0:0:1 - - [13/Jun/2017:19:14:56 +0530] "GET /sunelectronics/resources/css/bootstrap.min.css HTTP/1.1" 200 121204
0:0:0:0:0:0:0:1 - - [13/Jun/2017:19:14:56 +0530] "GET /sunelectronics/resources/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 22004
0:0:0:0:0:0:0:1 - - [13/Jun/2017:19:14:56 +0530] "GET /sunelectronics/resources/css/style.css HTTP/1.1" 200 23619
0:0:0:0:0:0:0:1 - - [13/Jun/2017:19:14:56 +0530] "GET /sunelectronics/resources/css/owl.carousel.css HTTP/1.1" 200 1486
0:0:0:0:0:0:0:1 - - [13/Jun/2017:19:14:56 +0530] "GET /sunelectronics/resources/css/responsive.css HTTP/1.1" 200 4914
0:0:0:0:0:0:0:1 - - [13/Jun/2017:19:14:57 +0530] "GET /sunelectronics/resources/js/jquery.autocomplete.js HTTP/1.1" 200 32713
0:0:0:0:0:0:0:1 - - [13/Jun/2017:19:14:57 +0530] "GET /sunelectronics/resources/js/autocomplete-search.js HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [13/Jun/2017:19:14:57 +0530] "GET /sunelectronics/resources/js/ajax/cartOperations.js HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [13/Jun/2017:19:14:57 +0530] "GET /sunelectronics/resources/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [13/Jun/2017:19:14:57 +0530] "GET /sunelectronics/resources/js/jquery-migrate-1.2.1.min.js HTTP/1.1" 200 7199
0:0:0:0:0:0:0:1 - - [13/Jun/2017:19:14:57 +0530] "GET /sunelectronics/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [13/Jun/2017:19:14:57 +0530] "GET /sunelectronics/resources/js/bootstrap-hover-dropdown.min.js HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [13/Jun/2017:19:14:57 +0530] "GET /sunelectronics/resources/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20947
0:0:0:0:0:0:0:1 - - [13/Jun/2017:19:14:57 +0530] "GET /sunelectronics/resources/js/owl.carousel.min.js HTTP/1.1" 200 23890
0:0:0:0:0:0:0:1 - - [13/Jun/2017:19:14:57 +0530] "GET /sunelectronics/resources/js/custom.js HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [13/Jun/2017:19:14:57 +0530] "GET /sunelectronics/resources/images/logo.png HTTP/1.1" 200 11290
0:0:0:0:0:0:0:1 - - [13/Jun/2017:19:14:57 +0530] "GET /sunelectronics/resources/images/product-images/spl-product-img2.jpg HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [13/Jun/2017:19:14:57 +0530] "GET /sunelectronics/resources/images/product-images/spl-product-img1.jpg HTTP/1.1" 200 2854
0:0:0:0:0:0:0:1 - - [13/Jun/2017:19:14:57 +0530] "GET /sunelectronics/resources/images/product-images/spl-product-img3.jpg HTTP/1.1" 200 1973
